"","title","position","date","type","year","episodes"
"1","The White Lotus",1,2025-04-14,"TV Series","2021– ","22"
"2","Adolescence",2,2025-04-14,"TV Mini Series","2025","4"
"3","MobLand",3,2025-04-14,"TV Series","2025– ","10"
"4","Severance",4,2025-04-14,"TV Series","2022– ","20"
"5","Daredevil: Born Again",5,2025-04-14,"TV Series","2025– ","17"
"6","The Residence",6,2025-04-14,"TV Mini Series","2025","8"
"7","1923",7,2025-04-14,"TV Series","2022–2025","15"
"8","The Pitt",8,2025-04-14,"TV Series","2025– ","16"
"9","Reacher",9,2025-04-14,"TV Series","2022– ","25"
"10","The Studio",10,2025-04-14,"TV Series","2025– ","10"
"11","The Bondsman",11,2025-04-14,"TV Series","2025– ","8"
"12","The Wheel of Time",12,2025-04-14,"TV Series","2021– ","24"
"13","Invincible",13,2025-04-14,"TV Series","2021– ","25"
"14","Yellowjackets",14,2025-04-14,"TV Series","2021– ","29"
"15","Mid-Century Modern",15,2025-04-14,"TV Series","2025– ","10"
"16","The Righteous Gemstones",16,2025-04-14,"TV Series","2019–2025","36"
"17","Black Mirror",17,2025-04-14,"TV Series","2011– ","33"
"18","Solo Leveling",18,2025-04-14,"TV Series","2024– ","26"
"19","Good American Family",19,2025-04-14,"TV Mini Series","2025","8"
"20","Game of Thrones",20,2025-04-14,"TV Series","2011–2019","74"
"21","The Rookie",21,2025-04-14,"TV Series","2018– ","144"
"22","The Last of Us",22,2025-04-14,"TV Series","2023– ","17"
"23","Bosch: Legacy",23,2025-04-14,"TV Series","2022–2025","30"
"24","Devil May Cry",24,2025-04-14,"TV Series","2025– ","9"
"25","Yellowstone",25,2025-04-14,"TV Series","2018–2024","53"
