"","title","position","date","type","year","episodes"
"1","Severance",1,2025-02-03,"TV Series","2022– ","19"
"2","American Primeval",2,2025-02-03,"TV Mini Series","2025","6"
"3","The Night Agent",3,2025-02-03,"TV Series","2023– ","21"
"4","Silo",4,2025-02-03,"TV Series","2023– ","22"
"5","Squid Game",5,2025-02-03,"TV Series","2021–2025","18"
"6","Landman",6,2025-02-03,"TV Series","2024– ","10"
"7","The Pitt",7,2025-02-03,"TV Series","2025– ","15"
"8","Game of Thrones",8,2025-02-03,"TV Series","2011–2019","74"
"9","Yellowstone",9,2025-02-03,"TV Series","2018–2024","53"
"10","Twin Peaks",10,2025-02-03,"TV Series","1990–1991","30"
"11","The Day of the Jackal",11,2025-02-03,"TV Series","2024– ","11"
"12","Dexter",12,2025-02-03,"TV Series","2006–2013","96"
"13","The Rookie",13,2025-02-03,"TV Series","2018– ","117"
"14","High Potential",14,2025-02-03,"TV Series","2024– ","14"
"15","Dexter: Original Sin",15,2025-02-03,"TV Series","2024– ","10"
"16","Prime Target",16,2025-02-03,"TV Series","2025– ","8"
"17","The Agency",17,2025-02-03,"TV Series","2024– ","11"
"18","Younger",18,2025-02-03,"TV Series","2015–2021","84"
"19","Breaking Bad",19,2025-02-03,"TV Series","2008–2013","62"
"20","Outlander",20,2025-02-03,"TV Series","2014– ","101"
"21","XO, Kitty",21,2025-02-03,"TV Series","2023– ","18"
"22","The White Lotus",22,2025-02-03,"TV Series","2021– ","22"
"23","From",23,2025-02-03,"TV Series","2022– ","31"
"24","Paatal Lok",24,2025-02-03,"TV Series","2020– ","17"
"25","1923",25,2025-02-03,"TV Series","2022–2025","15"
